first_arrival_time,success,num_alerted,environment,policy
0.9496709067354545,True,4,urban,Local Small
3.3118262553614395,True,5,urban,Local Small
1.4438337754435113,True,5,urban,Local Small
1.1320392474851488,True,5,urban,Local Small
0.36617920783051394,True,5,urban,Local Small
1.329706894188557,True,5,urban,Local Small
1.2175288744083144,True,5,urban,Local Small
1.0886601896533699,True,5,urban,Local Small
0.9816406585222843,True,5,urban,Local Small
1.7352746995805155,True,5,urban,Local Small
1.6342331864426978,True,5,urban,Local Small
0.07146487665332145,True,5,urban,Local Small
2.5601294576336047,True,5,urban,Local Small
1.460075696004452,True,5,urban,Local Small
1.6441200518895172,True,5,urban,Local Small
0.6526710415392825,True,5,urban,Local Small
2.2582387261589822,True,5,urban,Local Small
1.9038123963843705,True,3,urban,Local Small
2.2906420342321985,True,5,urban,Local Small
1.5023938979619458,True,3,urban,Local Small
0.4919452054613025,True,4,urban,Local Small
2.3095333533292144,True,5,urban,Local Small
1.1756641727186157,True,5,urban,Local Small
2.354421430788432,True,5,urban,Local Small
1.907220083162564,True,5,urban,Local Small
2.2387459127650406,True,5,urban,Local Small
2.5311395768767544,True,5,urban,Local Small
2.722185257856225,True,4,urban,Local Small
2.6219326801570055,True,5,urban,Local Small
0.7255477964553794,True,5,urban,Local Small
1.6081463578060158,True,2,urban,Local Small
1.2705726368995425,True,5,urban,Local Small
1.1412250242256157,True,5,urban,Local Small
0.21282792355274416,True,5,urban,Local Small
1.6567826873049798,True,5,urban,Local Small
1.9925955290618182,True,5,urban,Local Small
0.7788572994873748,True,5,urban,Local Small
1.8213760619028956,True,3,urban,Local Small
1.6781381582821548,True,5,urban,Local Small
2.916766495761225,True,5,urban,Local Small
2.136012081844084,True,5,urban,Local Small
0.9657056650423913,True,5,urban,Local Small
2.0644723401333573,True,5,urban,Local Small
0.7755423408591345,True,5,urban,Local Small
0.7214877652400826,True,5,urban,Local Small
3.3969302120583094,True,5,urban,Local Small
0.731588567096739,True,5,urban,Local Small
2.9313841162599212,True,5,urban,Local Small
2.1094459861634647,True,2,urban,Local Small
1.5031249420995574,True,5,urban,Local Small
1.633308660327117,True,5,urban,Local Small
0.36991921160898045,True,5,urban,Local Small
2.3212313638427076,True,5,urban,Local Small
1.9197502526033405,True,5,urban,Local Small
2.3296188941810794,True,5,urban,Local Small
1.133486185267851,True,5,urban,Local Small
1.474283165408669,True,5,urban,Local Small
1.4766548540224949,True,5,urban,Local Small
0.943067669542009,True,5,urban,Local Small
1.9003381173229474,True,5,urban,Local Small
3.6403076721961787,True,5,urban,Local Small
1.4525102647438306,True,5,urban,Local Small
2.9751404475489394,True,5,urban,Local Small
0.9554446628903965,True,5,urban,Local Small
1.6208411408466845,True,5,urban,Local Small
1.2976519582668387,True,5,urban,Local Small
8.80617731934665,False,5,urban,Local Small
1.8326685683020902,True,5,urban,Local Small
3.021273438871826,True,5,urban,Local Small
1.6510210122622297,True,5,urban,Local Small
1.1362802362151985,True,5,urban,Local Small
2.3719170624240773,True,5,urban,Local Small
1.7753659919586853,True,4,urban,Local Small
2.6735091900773096,True,5,urban,Local Small
1.0599197658224548,True,5,urban,Local Small
1.7615496461571323,True,5,urban,Local Small
2.196994765237917,True,5,urban,Local Small
2.5278737445414894,True,5,urban,Local Small
1.7680810824710056,True,5,urban,Local Small
0.3451938893159307,True,5,urban,Local Small
3.455332289847892,True,5,urban,Local Small
1.8577821329543345,True,5,urban,Local Small
1.7437196926716552,True,5,urban,Local Small
0.6370854136198583,True,5,urban,Local Small
1.1740751367561817,True,5,urban,Local Small
1.3877724219021461,True,5,urban,Local Small
0.70590866090359,True,5,urban,Local Small
2.0339850506509487,True,5,urban,Local Small
1.923735672992237,True,5,urban,Local Small
1.9032351956693367,True,5,urban,Local Small
2.1355105553306317,True,5,urban,Local Small
2.1774437287290525,True,5,urban,Local Small
0.733473440129637,True,5,urban,Local Small
2.824583363978677,True,5,urban,Local Small
1.6178170617000238,True,5,urban,Local Small
1.3558129652851902,True,5,urban,Local Small
0.9825811560172177,True,5,urban,Local Small
1.4153657200006988,True,5,urban,Local Small
1.9994541132866053,True,5,urban,Local Small
1.1572986752486707,True,5,urban,Local Small
0.7200604577454289,True,5,urban,Local Small
1.8402896767722157,True,5,urban,Local Small
2.242140365012009,True,5,urban,Local Small
2.3405798408052085,True,5,urban,Local Small
0.7445134632674684,True,5,urban,Local Small
1.8417926817422927,True,5,urban,Local Small
1.6072318031397639,True,5,urban,Local Small
1.8549484007199626,True,5,urban,Local Small
1.647669366389498,True,5,urban,Local Small
2.41542081544605,True,5,urban,Local Small
1.9356104096797435,True,5,urban,Local Small
3.8492257502633795,True,5,urban,Local Small
2.938111168691723,True,5,urban,Local Small
2.0277466739267602,True,4,urban,Local Small
1.9791342138074375,True,5,urban,Local Small
1.6646663993524995,True,5,urban,Local Small
1.578690433120467,True,5,urban,Local Small
2.3360350013181894,True,5,urban,Local Small
1.4823242103639522,True,5,urban,Local Small
2.3287604448058685,True,5,urban,Local Small
0.2958853681679237,True,5,urban,Local Small
2.499709764483625,True,5,urban,Local Small
0.7566476703938222,True,5,urban,Local Small
2.332081973504785,True,5,urban,Local Small
1.221638566539692,True,5,urban,Local Small
1.817742559026755,True,5,urban,Local Small
1.5222786788344,True,5,urban,Local Small
0.4429033289036967,True,5,urban,Local Small
1.090198683144362,True,5,urban,Local Small
1.7072460063234238,True,5,urban,Local Small
1.7066289973529107,True,5,urban,Local Small
2.293762222079022,True,5,urban,Local Small
1.0562520440614802,True,5,urban,Local Small
2.8050103994358224,True,5,urban,Local Small
1.8643530935539994,True,5,urban,Local Small
0.5005407211192643,True,5,urban,Local Small
0.7857636015984711,True,5,urban,Local Small
2.379567228598558,True,5,urban,Local Small
2.7213017675545417,True,5,urban,Local Small
2.797213745523421,True,5,urban,Local Small
1.4099557368595672,True,5,urban,Local Small
3.0069712952726295,True,5,urban,Local Small
1.9176109141459423,True,5,urban,Local Small
1.2934561620192648,True,5,urban,Local Small
0.8460387388314847,True,5,urban,Local Small
0.44078789625167536,True,5,urban,Local Small
1.5473418633151559,True,5,urban,Local Small
1.0980219637146469,True,5,urban,Local Small
0.8286601579272579,True,5,urban,Local Small
1.3077056472272997,True,5,urban,Local Small
0.004459817637470387,True,5,urban,Local Small
1.4907874834750092,True,5,urban,Local Small
3.548210797936554,True,5,urban,Local Small
1.6396040004400954,True,5,urban,Local Small
1.146165174457229,True,5,urban,Local Small
1.913533538008248,True,5,urban,Local Small
0.9036873797983018,True,5,urban,Local Small
2.380551073558491,True,5,urban,Local Small
3.6379381387934986,True,5,urban,Local Small
0.9929375290613756,True,5,urban,Local Small
1.5007722512994643,True,5,urban,Local Small
1.9443242200763065,True,5,urban,Local Small
1.7249604009257657,True,4,urban,Local Small
1.2468058508637907,True,5,urban,Local Small
1.391642839738338,True,5,urban,Local Small
2.1477848887900013,True,5,urban,Local Small
2.2293405627137153,True,5,urban,Local Small
0.6726754580067591,True,5,urban,Local Small
1.537243748624092,True,5,urban,Local Small
1.7716768560975353,True,5,urban,Local Small
1.2561704421994135,True,5,urban,Local Small
2.2660352706742586,True,5,urban,Local Small
2.660363888375475,True,5,urban,Local Small
1.969490281347717,True,5,urban,Local Small
1.883007405579194,True,5,urban,Local Small
0.9768304077203794,True,5,urban,Local Small
1.9392901605696045,True,5,urban,Local Small
1.3336140524822488,True,5,urban,Local Small
0.31247153301367636,True,5,urban,Local Small
1.9284801989530331,True,5,urban,Local Small
2.3870950055142295,True,5,urban,Local Small
3.4685885806174115,True,5,urban,Local Small
1.6093784374267743,True,5,urban,Local Small
0.8620491329515333,True,5,urban,Local Small
1.5355819073797345,True,5,urban,Local Small
1.8704387947676187,True,4,urban,Local Small
1.3931880250324133,True,5,urban,Local Small
2.7483441363687855,True,4,urban,Local Small
1.665201497280579,True,5,urban,Local Small
1.219947134671327,True,5,urban,Local Small
1.681360706338585,True,4,urban,Local Small
3.1673325329302924,True,5,urban,Local Small
1.4446936206282095,True,4,urban,Local Small
1.1883199966654605,True,5,urban,Local Small
